chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AirLaw,68,More than 12 hours,More than 12 days,More than one week,Any period,1998-11-30 0:00,A,"Under licensing rules, pilots must notify the authority of any medical condition or injury that results in incapacity for a significant period. If a pilot is unable to exercise the privileges of their license for more than 12 days, they must report this to the licensing authority. This triggers a review of their medical fitness before they can return to flight duties."
AirLaw,69,"According to JAR-FCL, Class 2 medical certificate for private pilots will be valid for","60 months until age of 30, 24 months until age of 50, 12 months until age of 65 and 6 months thereafter","60 months until age of 30, 24 months until age of 40, 12 months thereafter","24 months until age of 40, 12 months thereafter","24 months until age of 40, 12 months until age of 60 and 6 months thereafter",A,"According to JAR-FCL, a Class 2 medical certificate (required for private pilots) is valid for 60 months (5 years) until the age of 30. Between the ages of 30 and 50, the validity is reduced to 24 months, and then to 12 months until age 65, after which it is 6 months. This progressive reduction in validity monitors age-related medical risks in general aviation."
AirLaw,70,"According to JAR-FCL, an applicant for a CPL (A) who has satisfactorily followed an completed an integrated flying training course shall have completed as a pilot of aeroplanes having a certificate of airworthiness issued or accepted by a JAA Member State at least:",150 hours of flight time,200 hours of flight time,150 hours of flight time plus 10 hours of instrument ground time,200 hours of flight time plus 10 hours of instrument ground time,A,"An applicant for a CPL(A) who has completed an approved integrated training course must have logged at least 150 hours of flight time in aeroplanes. Integrated courses combine theoretical and flight training in a highly structured syllabus, which justifies the reduced flight hour requirement compared to modular courses. All aircraft used in training must hold a valid certificate of airworthiness."
AirLaw,71,"According to JAR-FCL, an instrument rating is valid for :",one year,two years,The period of validity of the licence.,Indefinitely,A,"According to JAR-FCL/EASA rules, an Instrument Rating (IR) for aeroplanes has a validity period of exactly one year. To maintain the privileges of the rating, the pilot must pass a revalidation proficiency check within the three months preceding the expiry date. If the rating is allowed to expire, a renewal procedure including refresher training and a skill test is required."
AirLaw,72,"According to JAR-FCL, an applicant for an IR(A) shall hold a PPL (A)including a night qualification or CPL(A) and shall have completed at least 50 hours :",Cross country flight time as pilot-in-command in aeroplanes or helicopters of which at least 10 hours shall be in aeroplanes.,Cross country flight time as pilot of aeroplanes or helicopters of which at least 10 hours shall be in aeroplanes.,Instructional flight time as studen-pilot-in-command of aeroplanes.,Instructional flight time as student-pilot-in-command of aeroplanes or helicopters of which at least 10 hours shall be in aeroplanes.,A,"To qualify for an Instrument Rating - IR(A) under JAR-FCL, an applicant holding a PPL(A) with night qualification or a CPL(A) must have completed at least 50 hours of cross-country flight time as pilot-in-command (PIC). These hours can be logged in aeroplanes or helicopters, but at least 10 hours must be completed in aeroplanes. This ensures solid command and navigation experience before starting instrument training."
AirLaw,73,"According to JAR-FCL, class rating shall be established for single pilots aeroplanes not requiring a type rating, including :",All self.-sustaining gliders.,"All types of single-pilot, single-engine aeroplanes fitted with a turbojet engine.",Microlights having fixed wings and moveable aerodynamic control surfaces acting in all three dimensions.,Any other type of aeroplane if considered necessary.,A,"Under JAR-FCL, class ratings are established for single-pilot aeroplanes that do not require a type rating. This category includes all self-sustaining gliders, which have their own specific class rating. Class ratings simplify licensing by grouping similar aircraft, allowing pilots to fly multiple types within the class without individual type ratings."
AirLaw,74,"According to JAR-FCL, establishment of separate type rating for aeroplanes will be assessed on the basis of three criteria. One of these three criteria is that the aeroplane has :",Handling characteristics that require additional flying or simulator training,Handling characteristics that require the use of more than one crew member,A certificate of airworthiness issued by a non-member state.,A certificate of airworthiness issued by the manufacturer.,A,"The establishment of a separate type rating for an aeroplane under JAR-FCL is based on three main criteria, one of which is whether the handling characteristics require additional flight or simulator training. If an aircraft has distinct flight characteristics or complex systems, a dedicated type rating is mandated to ensure pilot competence. This assessment prevents pilots from transitioning to complex aircraft without formal training."
AirLaw,75,"According to JAR-FCL, the validity of type ratings and multi-engine class ratings will be one year from the date :",Of issue,Of the skill test,The application is received by the Authority.,Of the last medical certificate,A,"According to JAR-FCL, the validity of type ratings and multi-engine class ratings is one year from the date of issue. To keep these ratings active, pilots must complete a proficiency check within the three months prior to the rating's expiry. If the check is passed, the rating is revalidated for another year from the original expiry date."
AirLaw,76,"According to JAR-FCL, single pilot single-engine class ratings are valid for :",Two years,One year,Two years up to age 40 years then one year thereafter.,Five years after licence issuie.,A,"Under JAR-FCL, single-pilot, single-engine class ratings are valid for a period of two years from the date of issue or revalidation. To revalidate the rating, the pilot must meet specific experience requirements (such as 12 hours of flight time in the second year) or pass a proficiency check with an examiner. This longer validity period reflects the lower complexity of single-engine aircraft compared to multi-engine types."
AirLaw,77,Which provisions on a VFR-flight in Class E airspace are CORRECT?,"Service provided : Traffic Information as far as practical, ATC Clearance : not required ,","Service provided : Air Traffic Control Service, ATC Clearance : required ,","Service provided : Traffic Information as far as practical, ATC Clearance : required ,","Service provided : Air Traffic Control Service, ATC Clearance : not required",A,"In Class E airspace, VFR flights are permitted without an ATC clearance, as this airspace is controlled only for IFR traffic. The air traffic service provided to VFR flights is limited to traffic information as far as practical. VFR pilots remain responsible for their own separation from other aircraft and must maintain standard visual meteorological conditions (VMC)."
AirLaw,78,"Which action shall be taken by an aircraft in the traffic pattern of an aerodrome, experiencing radio failure to indicate difficulties which compel it to land without requiring immediate assistance?",The repeated switching on and off of the landing lights,Switching on and off three times the landing lights,Switching on and off four times the landing lights,Switching on and off four times the navigation lights,A,"If an aircraft in the traffic pattern experiences a radio failure and needs to land without requiring immediate emergency assistance, it must repeatedly switch its landing lights on and off. This visual signal informs the tower and other traffic of the radio failure and the intent to land. It is a standard non-verbal communication method in general aviation."
AirLaw,79,"If radio communication is established during an interception but communications in a common language is not possible, which phrase should be pronounced by the intercepting aircraft to request the intercepted aircraft to descend for landing ?",Descend,Let down,You land,Descend for landing,A,"If radio contact is established during an interception but a common language is not spoken, standard ICAO phrases must be used. To instruct the intercepted aircraft to descend for landing, the interceptor will transmit the word 'Descend'. This brief, unambiguous command is part of the standardized international vocabulary for interception procedures."
AirLaw,80,"If radio contact with the intercepting aircraft is established but communication on a common language is not possible, which phrase should be pronounced by the intercepted aircraft to communicate that he is unable to comply with the instructions received ?",CAN NOT,CAN NOT COMPLY,UNABLE TO COMPLY,NOT POSSIBLE,A,"If an intercepted pilot cannot comply with the instructions of the intercepting aircraft due to mechanical issues or other safety hazards, they should transmit the phrase 'CAN NOT'. This standardized terminology is used to convey inability to comply when no common language is shared. It immediately alerts the intercepting pilot to the issue, allowing them to adjust their instructions."
AirLaw,81,A flashing red light from control tower during an approach to land means:,"The airport is unsafe, do not land","The airport is temporarily closed, continue circling",Give way to other aircraft in emergency,Continue circling and wait for further instructions,A,"A flashing red light signal from the control tower to an aircraft in flight indicates that the aerodrome is unsafe and the pilot must not land. Upon receiving this signal, the pilot should continue circling or divert to an alternate airport. This is a critical light signal used when radio communications are unavailable."
AirLaw,82,On aerodromes aircraft taxying on the manoeuvring area of an aerodrome shall give way to:,aircraft taking off or about to take off,other vehicles and pedestrians,other converging aircraft,"all vehicles moving on the apron except the """"follow me"""" vehicle",A,Aircraft taxiing on the maneuvering area of an aerodrome must give way to aircraft taking off or about to take off. This rule prioritizes departing traffic to ensure runway safety and efficient traffic flow. Ground control and pilots must maintain vigilance to prevent runway incursions.
AirLaw,83,A double white cross displayed horizontally in the signal area means:,The aerodrome is being used by gliders and that glider flights are being performed.,An area unit for the movement of aircraft.,Special precautions must be observed due to bad state of the taxiways.,Need special precautions while approaching for landing.,A,"A double white cross displayed horizontally in the aerodrome signal area indicates that glider flights are in progress. Pilots operating in the vicinity must exercise extra caution due to the presence of gliders, which have limited maneuverability and different flight paths. It alerts power-driven aircraft to give way to gliders in accordance with the rules of the air."
AirLaw,84,"Except when a clearance is obtained from an ATC unit, a VFR flight can not enter or leave a control zone when ceiling is less than :",1 500 feet or visibility is less than 5 km,1 000 feet or visibility is less than 5 km,2 000 feet or visibility is less than 5 km,1 000 feet or visibility is less than 8 km,A,"Except when authorized by ATC under Special VFR, a VFR flight is prohibited from entering or leaving a control zone (CTR) if the ground visibility is less than 5 km or the ceiling is less than 1,500 feet. This rule ensures that VFR aircraft maintain adequate clearance from terrain and clouds in areas with instrument traffic. It prevents visual flights from operating in poor weather without separation services."
AirLaw,85,The person who has final authority as to the disposition of an aircraft during flight time is:,The commander,The ATC controller if the aircraft is flying in a controlled airspace,The aircraft owner,The airliner operator,A,"The pilot-in-command (commander) has final authority over the operation and safety of the aircraft during flight time. According to Article 30 of the Chicago Convention and national regulations, this authority is absolute and overrides instructions from ATC if the safety of the aircraft is at stake. The commander is responsible for the safety of all crew, passengers, and cargo."
AirLaw,86,Which of the following flights has the greatest priority to land ?,Emergency aircraft,Military aircraft,VIP (Head of state) aircraft,Hospital aircraft carrying a very sick person needing immediate medical attention,A,"An aircraft in an emergency situation has the absolute highest priority to land at an aerodrome. This priority overrides all other traffic, including military, VIP, or hospital flights. Air traffic control must clear the airspace and assist the emergency aircraft to ensure a safe landing as quickly as possible."
AirLaw,87,"An aircraft flying above the sea between 4 500 feet MSL and 9 000 feet MSL outside controlled airspace under VFR, must remain on principle at least:","1 500 m horizontally, 1000 feet vertically from clouds, 5 km visibility.","1500 m horizontally, 1000 feet vertically from clouds, 8 km visibility.","Clear of clouds and in sight of the surface, 8 km visibility.","2 000 feet horizontally, 1000 feet vertically from clouds, 5 km visibility.",A,"For VFR flights operating outside controlled airspace between 4,500 feet and 9,000 feet MSL, standard VMC minima apply. The pilot must maintain a flight visibility of at least 5 km and remain at least 1,500 meters horizontally and 1,000 feet vertically clear of clouds. This provides sufficient reaction time to see and avoid other traffic in uncontrolled airspace."
AirLaw,88,"The VMC minima for an airspace classified as """"B"""" above 10 000 feet MSL are :","clear of clouds, 8 km visibility","1 mile horizontaly and 1 000 feet verticaly from clouds, 5 km visibility","2 000 metres horizontaly, 1 000 feet verticaly from clouds, 8 km visibility","1 nautical mile horizontaly and 1 000 feet verticaly from clouds, 8 km visibility",A,"In Class B airspace above 10,000 feet MSL, the VMC visibility minimum for all flights is 8 km, and aircraft must remain clear of clouds. Class B airspace is highly controlled, and the separation standards are strict. The increased visibility requirement at higher altitudes accounts for higher closure speeds between aircraft."
AirLaw,89,"The VMC minima for an airspace classified as """"G"""" above 10 000 feet MSL are :","1500 m horizontally and 1 000 feet vertically from clouds, 8 km visibility.","1500 m horizontally and 1 000 feet verticaly from clouds, 5 km visibility","1 nautical mile horizontally and 1 000 feet vertically from clouds, 5 km visibility","1 nautical mile horizontally and 1000 feet vertically from clouds, 8 km visibility",A,"In Class G (uncontrolled) airspace above 10,000 feet MSL, the VMC minima require a flight visibility of at least 8 km. Additionally, the aircraft must remain at least 1,500 meters horizontally and 1,000 feet vertically clear of clouds. These strict visual parameters are necessary to compensate for the lack of air traffic control separation services at high altitudes."
AirLaw,90,A controlled flight is requested to inform the appropriate ATC unit whenever the average True Air Speed at cruising level varies or is expected to vary from that given in the flight plan by plus or minus:,5%,3%,2%,10%,A,"A pilot operating a controlled flight must notify the appropriate ATC unit if the average True Air Speed (TAS) at cruising level varies, or is expected to vary, by plus or minus 5% from the value specified in the flight plan. This notification is essential for ATC to maintain safe longitudinal separation between aircraft along the route. Significant speed changes can alter arrival times and separation intervals."
AirLaw,91,"An aircraft intercepted by another aircraft, if equipped with SSR transponder shall, unless otherwise instructed by the appropriate ATS unit, select one of the following code on mode """"A""""",7 700,7 500,7 600,7 000,A,"An aircraft that is intercepted by another aircraft must immediately select SSR Mode A Code 7700, unless otherwise instructed by air traffic services. Code 7700 indicates an emergency situation and alerts all radar stations to the aircraft's status. This action ensures maximum visibility and support from air traffic control units."
AirLaw,92,An aircraft intercepted by another aircraft shall immediately attempt to establish radio communication with the intercepting aircraft on the following frequencies:,121.5 MHz - 243 MHz,121.5 MHz - 125.5 MHz,121.5 MHz - 282.8 MHz,243 MHz - 125.5 MHz,A,"If intercepted, the pilot must immediately attempt to establish radio communication with the intercepting aircraft on the international emergency frequencies 121.5 MHz and 243.0 MHz. These frequencies are monitored by military and civil units worldwide. Establishing communication is vital to understand the interceptor's instructions and resolve the situation safely."
AirLaw,93,"Which manoeuvre shall be executed by an intercepting aircraft if the pilot wants to communicate to the intercepted aircraft """"YOU MAY PROCEED"""" ?",Executing a climbing turn of 90 degrees or more without crossing the line of flight of the intercepted aircraft.,Rocking wings twice and crossing in front of the aircraft.,Circling the intercepted aircraft in a clock-wise pattern.,Rocking the wings and flashing the navigational lights.,A,"To signal 'YOU MAY PROCEED' to an intercepted aircraft, the intercepting aircraft will perform a climbing turn of 90 degrees or more away from the intercepted aircraft, without crossing its flight path. This clear breakaway maneuver indicates that the interception has ended and the pilot is free to resume their flight. It is a standardized signal defined in ICAO Annex 2."
AirLaw,94,"Unless otherwise prescribed, what is the rule regarding level to be maintained by an aircraft flying IFR outside controlled airspace?",1 000 feet above the highest obstacle within 8 kilometres of the estimated position of the aircraft,2 000 feet above the highest obstacle within 8 kilometres of course,1 000 feet above the highest obstacle within 8 nautical miles of course,2 000 feet above the highest obstacle within 8 nautical miles of course,A,"For IFR flights operating outside controlled airspace, the minimum height to be maintained is 1,000 feet above the highest obstacle located within 8 kilometers of the estimated position of the aircraft. In mountainous terrain, this minimum clearance is increased to 2,000 feet. This rule provides a safety buffer against terrain and obstacles when flying in poor visibility."
AirLaw,95,"Aircraft """"A"""" with an ATC clearance is flying in VMC conditions within a control area. Aircraft """"B"""" with no ATC clearance is approaching at approximately the same altitude and on a converging course. Which has the right of way?","Aircraft """"B"""" if """"A"""" is on its left","Aircraft """"A"""" if """"B"""" is on its right","Aircraft """"A"""" regardless of the direction which """"B"""" is approaching","Aircraft """"B"""" regardless of the direction """"A"""" is approaching",A,"Under the rules of the air for converging aircraft at the same altitude, the aircraft that has the other on its right must give way. Therefore, if Aircraft B has Aircraft A on its left, it means Aircraft B is on the right of Aircraft A. Thus, Aircraft B has the right-of-way, and Aircraft A must give way by turning or adjusting altitude to avoid crossing ahead."
AirLaw,96,Which of the following actions shall be taken in case of a controlled flight deviates from the track?,Adjust the heading of aircraft to regain track as soon as practicable,Inform the ATC unit immediately,"If VMC, maintain this condition, waiting for the ATC instructions",Notify ATC of the new track immediately and comply with instructions,A,"If a controlled flight deviates from its cleared track, the pilot must take immediate action to adjust the aircraft's heading to regain the track as soon as practicable. This correction prevents conflict with other traffic on adjacent routes. If the deviation is significant or cannot be quickly corrected, the pilot must notify the ATC unit."
AirLaw,97,"While on IFR flight, a pilot has an emergency which causes a deviation from an ATC clearance. What action must be taken?",The appropriate ATC unit shall be notified of the action taken as soon as circumstances permit,Request an amended clearance or cancel the IFR flight plan,Submit a detailed report to ATC within 24 hours,Squawk 7700,A,"If an emergency forces a pilot on an IFR flight to deviate from an ATC clearance, they must notify the appropriate ATC unit as soon as circumstances permit. This immediate notification allows ATC to clear conflicting traffic and provide assistance. Safety of flight always takes precedence over clearance compliance, but communication must be restored quickly."
AirLaw,98,A signalman will ask the pilot to apply parking brakes by the following signals:,"Raise arm and hand, with fingers extended, horizontally in front of body , then clench fist","Arms down , palms facing inwards, moving arms from extended position inwards.",Crossing arms extended above his head,"Horizontally moving his hands, fingers extended, palms toward ground",A,"To instruct a pilot to apply the parking brakes, a signalman will raise their arm and hand with fingers extended horizontally, then clench their fist. Clenching the fist is the universal signal for 'engage' or 'close' the brakes. The pilot should confirm execution of this instruction to ensure ground safety."
AirLaw,99,"An aircraft is flying under Instrument Flight Rules in an area where the visibility is unlimited and the sky is clear (free of clouds), when it totally loses radiocommunications. The procedure to be followed is:","land on the closest appropriate aerodrome, then advise Air Traffic Services of landing",adopt a VFR flight level and continue flight onto destination,"continue flight onto destination, complying with last received clearances then with filed flight plan.",descend to En-route Minimum Safe Altitude and join closest airfield open to IFR operations,A,"If an IFR flight loses radio communication in visual meteorological conditions (VMC), the pilot must continue the flight under visual rules and land at the nearest suitable aerodrome. Once landed, the pilot must immediately report the arrival to the appropriate air traffic services unit. This procedure prevents radio-silent aircraft from continuing along busy instrument routes, reducing collision risks."
AirLaw,100,A red flare addressed to a flying aircraft means :,"Not with standing any previous instructions, do not land for the time being.",Come back and land.,Give way to another aircraft and hold the circuit.,Dangerous airfield. Do not land.,A,"A red flare fired from the ground or addressed to a flying aircraft indicates that the pilot must not land, notwithstanding any previous instructions. This is an urgent signal used when the runway or airfield becomes unsafe due to a sudden hazard, such as an obstruction or emergency. The pilot must go around and wait for further clearance."
AirLaw,101,"Aircraft wishing to conduct IFR flight within advisory airspace, but not electing to use the air traffic advisory service:",Shall nevertheless submit a flight plan and notify changes made thereto to the ATS unit providing that service.,Shall nevertheless submit a flight plan but changes made thereto are not necessary to be notified.,need to file a flight plan,may file a flight plan under pilot's discretion.,A,"Even if an IFR flight chooses not to use the available air traffic advisory service within advisory airspace, the pilot is still required to submit a flight plan. Furthermore, any subsequent changes to that flight plan must be notified to the ATS unit providing the service. This ensures that controllers can maintain traffic awareness and provide safety alerts to other aircraft operating in the area."
AirLaw,102,"When a controlled flight inadvertently deviates from its current flightplan, ATC has to be informed in case :",the TAS varies by plus or minus 5% of the TAS notified in the flightplan.,of an emergency.,the estimated time is in error by more than 10 minutes.,it is a deviation from the track.,A,"Under standard air traffic rules, a pilot must notify the appropriate ATC unit if the average True Air Speed (TAS) varies or is expected to vary by plus or minus 5% from the value submitted in the flight plan. This notification is critical for ATC to manage longitudinal separation between aircraft on the same route. Minor speed changes can accumulate over long distances, potentially reducing safety margins."
AirLaw,103,"Where State has not established minimum IFR altitudes, the minimum height of an aircraft above the highest obstacle over high terrain, or in mountainous areas shall be for an IFR flight :",at least 2000 feet within 8 KM of the estimated position,at least 1000 feet within 5KM of the estimated position,at least 1000 feet within 8 KM of the estimated position,at least 2000 feet within 5KM of the estimated position,A,"Where a state has not established specific minimum IFR altitudes, the standard minimum clearance for IFR flights over high terrain or in mountainous areas is at least 2,000 feet. This safety buffer is measured vertically above the highest obstacle located within 8 kilometers of the estimated position of the aircraft. For flat terrain, the minimum vertical clearance is reduced to 1,000 feet."
AirLaw,104,"An aircraft shall display, if so equipped, an anti-collision light:",on the ground when the engines are running,"outside the daylight-period in flight, but not on the ground when it is being towed,","while taxiing, but not when it is being towed,","outside the daylight-period at engine-start. During the daylight-period this is not applicable,",A,An aircraft equipped with an anti-collision light must display it on the ground whenever the engines are running. This serves as an immediate visual warning to ground crew and other aircraft that the engines are active and the aircraft may move. This requirement applies during both day and night operations to maximize ramp safety.
AirLaw,105,The white dumb-bell with black perpendicular bar indicates that :,"taxiing need not be confined to the taxiways ,","gliderflying is performed outside the landing area,","landing, take-off and taxiing is allowed on runway and/or taxiway only,",this aerodrome is using parallel runways,A,"A white dumb-bell signal displayed horizontally in the aerodrome signal area indicates that movements are not restricted to paved taxiways. Pilots are allowed to taxi on grass or unpaved areas as long as they exercise caution. If a black perpendicular bar is added across the dumb-bell, it indicates that taxiing must be confined to taxiways, which is the opposite meaning."
AirLaw,106,An aircraft which is being subjected to unlawful interference ('hijacked') and is forced to divert from the cleared track or cruising level without being able to communicate with ATS shall try to:,Continue at an altitude that differs from the semicircular rule with 1000 feet when above FL 290 and 500 feet when lower than FL 290,Fly the emergency triangle,Declare an emergency,As soon as possible commence emergency descent in order minimize the difference between cabin pressure and outside pressure,A,"An aircraft subjected to unlawful interference that is forced to divert without radio communication should attempt to fly at an altitude that deviates from the standard semicircular cruising level rule. When operating above FL 290, the pilot should fly at an altitude that differs by 1,000 feet, and by 500 feet when below FL 290. This deliberate altitude offset alerts air traffic control and other aircraft to a non-standard situation."
AirLaw,107,An aircraft is considered to overtake another if it approaches the other aircraft from the rear on a line forming an angle of less than :,70 degrees with the plane of symmetry of the latter,50 degrees with the plane of symmetry of the latter,60 degrees with the plane of symmetry of the latter,80 degrees with the plane of symmetry of the latter,A,"An aircraft is officially considered to be overtaking another if it approaches from the rear on a line that forms an angle of less than 70 degrees with the plane of symmetry of the leading aircraft. At this angle, the overtaking pilot is positioned in a sector where the leading aircraft's navigation lights may not be fully visible. The overtaking aircraft must give way by altering its heading to the right."
AirLaw,108,"VMC minima for VFR flights in Class B airspace, above 3050m (10000 ft) AMSL, are :","8 km visibility, and clear of clouds ,","5 km visibility, 1500 m horizontal and 1000 ft vertical distance from clouds ,","8 km visibility, 1500 m horizontal and 1000 ft vertical distance from clouds ,","No minima, VFR flights are not permitted",A,"For VFR flights operating in Class B airspace above 10,000 feet AMSL, the visual meteorological conditions (VMC) minima require a flight visibility of at least 8 km. Additionally, because Class B is a highly controlled airspace, the pilot is only required to remain clear of clouds rather than maintaining specific distance buffers. VFR flights in Class B are fully separated from all other traffic by ATC."
AirLaw,109,During an IFR flight in VMC in controlled airspace you experience a two-way radio communication failure. You will :,"Land at the nearest suitable aerodrome maintaining VMC and inform ATC ,","Select A7600 and continue according currenct flight plan to destination ,","Descend to the flight level submitted for that portion of flight ,",Land at the nearest suitable aerodrome and inform ATC,A,"If a pilot on an IFR flight experiences a two-way radio failure while in visual meteorological conditions (VMC) within controlled airspace, they must continue the flight under visual rules. The pilot must land at the nearest suitable aerodrome and notify air traffic control of their landing by the quickest means possible. This procedure prevents radio-silent aircraft from continuing along busy instrument corridors."
AirLaw,110,Your aircraft is intercepted by a military aircraftThe signals given by this aircraft conflict with ATC instructionsYou should :,follow the instructions of the intercepting aircraft.,follow ATC instructions.,request ATC for other instructions.,select code A7500 on your transponder.,A,"If an aircraft is intercepted by military aircraft and the visual signals from the interceptor conflict with instructions from ATC, the pilot must follow the intercepting aircraft's instructions. International regulations establish that the commands of the intercepting aircraft take absolute priority to ensure safety and security. The pilot should attempt to establish communication on the emergency frequency to resolve the conflict."
AirLaw,111,"Whilst flying in an aerodrome's traffic circuit, an aircraft receives a series of green flashes from the tower. The aircraft :",must come back to land and the landing clearance will be sent in due time.,is cleared to land.,must land immediately and clear the landing area.,must give way to another aircraft.,A,"A series of green flashes from the control tower to an aircraft in flight indicates that the pilot is cleared to return to the aerodrome to land. However, this is not a final landing clearance; that clearance will be transmitted in due course as the aircraft approaches the runway. The pilot should join the traffic circuit and watch for further signals or instructions."
AirLaw,112,"Given:AGL = above ground levelAMSL = above mean sea levelFL = flight levelwithin uncontrolled airspace, the first usable level in IFR must provide a 500 ft margin above the following two levels:",3 000 ft AMSL or 1 000ft AGL.,3 000 ft AMSL or 1 500 ft AGL.,FL 30 or 100 ft AGL.,FL 30 or 1 500 ft AGL.,A,"For IFR flights operating within uncontrolled airspace, the first usable level must provide a safety margin of at least 500 feet above the higher of two reference altitudes. These altitudes are 3,000 feet above mean sea level (AMSL) or 1,000 feet above ground level (AGL). This margin ensures adequate terrain clearance and separation from VFR traffic below."
AirLaw,113,An aircraft which is being subjected to unlawful interference ('hijacked') and is forced to divert from the cleared track or cruising level without being able to communicate with ATS shall try to:,Continue at an altitude that differs from the semicircular rule with 1000 feet when above FL 290 and 500 feet when lower than FL 290,Fly the emergency triangle,Declare an emergency,As soon as possible commence emergency descent in order minimize the difference between cabin pressure and outside pressure,A,"In the event of hijacking (unlawful interference) where the pilot is forced to divert without ATS communication, the aircraft should continue at a non-standard altitude. Specifically, the pilot should fly at an altitude that differs from the semicircular rule by 1,000 feet when above FL 290, and by 500 feet when below FL 290. This offset helps radar controllers identify the hijacked status and reduces collision risks."
AirLaw,114,While taxying an aircraft receives the following light signal from the control tower : series of red flashes. This signal means that the aircraft :,must vacate the landing area in use.,must stop.,must return to its point of departure.,may continue to taxi to the take-off area.,A,A series of red flashes from the control tower to an aircraft taxiing on the ground indicates that the aircraft must immediately vacate the landing area or runway in use. This is a safety command issued when a runway needs to be cleared quickly for landing or departing traffic. The taxiing pilot must move to a safe holding position clear of the runway.
AirLaw,115,"While taxiing, an aircraft receives from the airport controller the following light signal : a series of green flashes. This signal means that the aircraft :",may continue to taxy towards the take-off area.,must stop.,must return to its point of departure.,is cleared for take-off.,A,"A series of green flashes from the control tower to a taxiing aircraft indicates that the pilot is authorized to continue taxiing towards the take-off area. This signal is used when radio communication is unavailable to guide ground movements. It does not constitute a clearance for take-off, which requires a separate signal."
AirLaw,116,An aircraft manoeuvering in an airport's circuit receives a series of red flashes from the control tower. This signifies that the aircraft must :,not land because the airport is not available for landing.,give way to another aircraft.,return to land and that clearance to land will be communicated in due course.,not land for the moment regardless of previous instructions.,A,A series of red flashes from the control tower to an aircraft in the traffic pattern indicates that the aerodrome is currently unavailable for landing and the pilot must not land. The pilot should continue circling or prepare to divert to an alternate aerodrome. This signal is typically used when the runway is obstructed or unsafe.
AirLaw,117,What does the abbreviation OIS mean?,Obstacle identification surface.,Obstacle in surface.,Obstacle identification slope.,Obstruction in surface.,A,"The abbreviation OIS stands for Obstacle Identification Surface. In instrument procedure design, this is a defined mathematical plane or slope used to identify and evaluate obstacles that may pose a hazard to flight. Obstacles that penetrate the OIS require further analysis and may impact the design of departure or approach procedures."
AirLaw,118,What does the abbreviation DER mean?,Depature end of runway.,Distance end of route.,Departure end of route.,Distance end of runway.,A,"The abbreviation DER stands for Departure End of Runway. It is the physical limit of the runway usable for takeoff, which marks the start of the en-route obstacle clearance assessment area. DER is a critical reference point for calculating instrument departure climb gradients and obstacle clearance."
AirLaw,119,"The MSA, which must be established around a navigation facility, is in general valid within a sector of :",25 NM,10 NM,15 NM,30 NM,A,"Minimum Sector Altitude (MSA) is established around a navigation facility to provide at least 1,000 feet of obstacle clearance within a specific sector. In general, MSA is valid within a circular sector with a radius of 25 nautical miles (NM) centered on the navigation aid. This provides pilots with a safe altitude to use in emergency situations or when adjusting their approach path."
AirLaw,120,A four-engine aeroplane is about to take-off from an airport where poor weather conditions are prevailing. The closest accessible aerodrome is three flying hours away.The take-off minima to be observed at departure airfield are:,"ceiling greater or equal to DH/MDH, and VH (horizontal visibility) greater or equal to VH required for landing, with an available instrument approach procedure",VH (visibility horizontal) greater or equal to VH required for landing on the runway to be used,"ceiling greater or equal to DH or MDH, and VH (horizontal visibility) greater or equal to VH required for landing, with an available instrument approach procedure to be envisaged with one engine out","VH (visibility horizontal) greater or equal to VH required for landing, and ceiling greater or equal to ceiling required for landing, with an available instrument approach procedure",A,"When a four-engine aeroplane departs from an airport where the weather is below landing minima, a take-off alternate aerodrome must be selected. This alternate must be within a maximum of three hours flight time at one-engine-inoperative cruising speed. To depart, the weather at the departure airfield must be at or above the landing minima for that runway, including a ceiling at or above DH/MDH and visibility at or above the minimum required for an available instrument approach."
AirLaw,121,"If in an instrument departure procedure the track to be followed by the aeroplane is published, the pilot is expected:",To correct for known wind to remain within the protected airspace.,To request from ATC different heading for wind correction.,To ignore the wind and proceed on an heading equal to the track.,To request clearance from ATC for applying a wind correction.,A,"When executing a published instrument departure procedure, the pilot is expected to apply appropriate wind correction to remain within the protected airspace. The published tracks are ground tracks, and fail-safe obstacle clearance is only guaranteed if the aircraft stays on course. The pilot does not need to request permission from ATC to correct for wind drift."
AirLaw,122,"In general, which is the main factor that dictates the design of an instrument departure procedure?",The terrain surrounding the airport.,ATC requirements.,Navigation aids.,Airspace restrictions.,A,"The design of an instrument departure procedure is primarily dictated by the terrain and obstacles surrounding the airport. Designers must establish flight paths and minimum climb gradients that ensure safe clearance from all local obstructions. Other factors, such as noise abatement and airspace restrictions, are secondary to terrain safety."
AirLaw,123,In an instrument departure procedure the minimum obstacle clearance at the departure end of runway equals:,0 ft.,3.3 % gradient.,35 ft.,0.8 % gradient.,A,"In standard instrument departure procedure design, the minimum obstacle clearance (MOC) begins at 0 feet at the departure end of the runway (DER). This means that the obstacle clearance plane starts at runway elevation at the DER and rises at a specified gradient (normally 0.8% or 35 ft/NM). It assumes the aircraft is airborne by the DER and climbs immediately."
